"__NounName","Name","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Process","ActualMultipleMonitorsCenter","171","98607104","3043328","10354688","18424","C:\Program Files (x86)\Actual Multiple Monitors\ActualMultipleMonitorsCenter.exe","Actual Tools","97,1262226","8.10.1","8.10.1","Actual Multiple Monitors","Actual Multiple Monitors","8",,"False",,"1772","Microsoft.Win32.SafeHandles.SafeProcessHandle","171","6580",".","0","","System.Diagnostics.ProcessModule (ActualMultipleMonitorsCenter.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18424","18424","10354688","10354688","229944","229944","14770176","14770176","17625088","17625088","185126912","185126912","True","Normal","10354688","10354688","00:00:46.5506984","ActualMultipleMonitorsCenter","15","True","1","System.Diagnostics.ProcessStartInfo","2017-02-28 13:16:06",,"System.Diagnostics.ProcessThreadCollection","00:01:37.1262226","00:00:50.5755242","98607104","98607104","False",,,,"3043328","3043328",,
"Process","ActualMultipleMonitorsCenter64","78","72949760","3018752","5857280","7744","C:\Program Files (x86)\Actual Multiple Monitors\ActualMultipleMonitorsCenter64.exe","Actual Tools","0,5460035","8.10.1","8.10.1","Actual Multiple Monitors","Actual Multiple Monitors","8",,"False",,"1804","Microsoft.Win32.SafeHandles.SafeProcessHandle","78","6984",".","0","","System.Diagnostics.ProcessModule (ActualMultipleMonitorsCenter64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7744","7744","5857280","5857280","134496","134496","6000640","6000640","8192000","8192000","76095488","76095488","True","Normal","5857280","5857280","00:00:00.4836031","ActualMultipleMonitorsCenter64","15","True","1","System.Diagnostics.ProcessStartInfo","2017-02-28 13:16:13",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5460035","00:00:00.0624004","72949760","72949760","False",,,,"3018752","3018752",,
"Process","ActualMultipleMonitorsShellCenter64","262","209068032","6213632","18825216","26832","C:\Program Files (x86)\Actual Multiple Monitors\ActualMultipleMonitorsShellCenter64.exe","Actual Tools","440,0008205","8.10.1","8.10.1","Actual Multiple Monitors","Actual Multiple Monitors","8",,"False",,"1836","Microsoft.Win32.SafeHandles.SafeProcessHandle","262","5108",".","262896","","System.Diagnostics.ProcessModule (ActualMultipleMonitorsShellCenter64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26832","26832","18825216","18825216","380824","380824","21016576","21016576","28950528","28950528","231350272","231350272","True","Normal","18825216","18825216","00:05:47.7886294","ActualMultipleMonitorsShellCenter64","15","True","1","System.Diagnostics.ProcessStartInfo","2017-02-28 13:16:17",,"System.Diagnostics.ProcessThreadCollection","00:07:20.0008205","00:01:32.2121911","209068032","209068032","False",,,,"6213632","6213632",,
"Process","ApMsgFwd","43","71331840","831488","2498560","7080",,,"16,3957051",,,,,"8",,,,,,"43","6520",".","0","",,,,,"7080","7080","2498560","2498560","132264","132264","2617344","2617344","5529600","5529600","73560064","73560064",,,"2498560","2498560","00:00:12.3552792","ApMsgFwd",,"True","1","System.Diagnostics.ProcessStartInfo","2017-02-28 13:16:05",,"System.Diagnostics.ProcessThreadCollection","00:00:16.3957051","00:00:04.0404259","71331840","71331840","False",,,,"831488","831488",,
"Process","ApntEx","90","84058112","4714496","5267456","9608","C:\Program Files\Apoint2K\Apntex.exe","Alps Electric Co., Ltd.","0,8736056","8, 1, 1601, 31","8, 1, 1601, 31","Alps Pointing-device Driver for Windows","Alps Pointing-device Driver for Windows","8",,"False",,"1896","Microsoft.Win32.SafeHandles.SafeProcessHandle","90","6724",".","0","","System.Diagnostics.ProcessModule (Apntex.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9608","9608","5267456","5267456","149360","149360","8093696","8093696","9363456","9363456","87203840","87203840","True","Normal","5267456","5267456","00:00:00.6864044","ApntEx","15","True","1","System.Diagnostics.ProcessStartInfo","2017-02-28 13:16:06",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8736056","00:00:00.1872012","84058112","84058112","False",,,,"4714496","4714496",,
"Process","Apoint","193","116330496","8036352","8081408","18464","C:\Program Files\Apoint2K\Apoint.exe","Alps Electric Co., Ltd.","3,6660235","8, 1, 1601, 149","8, 1, 1601, 149","Alps Pointing-device Driver","Alps Pointing-device Driver","8",,"False",,"1928","Microsoft.Win32.SafeHandles.SafeProcessHandle","193","4896",".","0","","System.Diagnostics.ProcessModule (Apoint.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18464","18464","8081408","8081408","203008","203008","8663040","8663040","17174528","17174528","139317248","139317248","True","Normal","8081408","8081408","00:00:02.8704184","Apoint","15","True","1","System.Diagnostics.ProcessStartInfo","2017-02-28 13:15:53",,"System.Diagnostics.ProcessThreadCollection","00:00:03.6660235","00:00:00.7956051","116330496","116330496","False",,,,"8036352","8036352",,
"Process","armsvc","79","44912640","1196032","1355776","8168",,,,,,,,"8",,,,,,"79","1852",".","0","",,,,,"8168","8168","1355776","1355776","75736","75736","1421312","1421312","4321280","4321280","46223360","46223360",,,"1355776","1355776",,"armsvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"44912640","44912640","False",,,,"1196032","1196032",,
"Process","audiodg","363","86663168","23461888","21331968","12680",,,"12,6516811",,,,,"8",,,,,,"363","7520",".","0","",,,,,"12680","12680","21331968","21331968","140184","140184","22052864","22052864","23531520","23531520","88236032","88236032",,,"21331968","21331968","00:00:00.2340015","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","2017-03-01 11:06:01",,"System.Diagnostics.ProcessThreadCollection","00:00:12.6516811","00:00:12.4176796","86663168","86663168","False",,,,"23461888","23461888",,
"Process","cardoscp","183","109539328","7516160","7909376","15440","C:\Program Files\CardOS API\bin\cardoscp.exe","Atos IT Solutions and Services GmbH","1,3416086","1, 14, 0, 16","1, 14, 0, 16","Certstore Application","CardOS API ($Name: CardOS-API-V5-2-015-NUEQ7K-MLNQG0-20130909 $)","8",,"False",,"2016","Microsoft.Win32.SafeHandles.SafeProcessHandle","183","6240",".","0","","System.Diagnostics.ProcessModule (cardoscp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15440","15440","7909376","7909376","187496","187496","7970816","7970816","15970304","15970304","114499584","114499584","True","Normal","7909376","7909376","00:00:00.9984064","cardoscp","15","True","1","System.Diagnostics.ProcessStartInfo","2017-02-28 13:16:04",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3416086","00:00:00.3432022","109539328","109539328","False",,,,"7516160","7516160",,
"Process","CcmExec","929","191418368","35549184","29839360","47904",,,,,,,,"8",,,,,,"929","9204",".","0","",,,,,"47904","47904","29839360","29839360","286656","286656","38469632","38469632","53772288","53772288","205832192","205832192",,,"29839360","29839360",,"CcmExec",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"191418368","191418368","False",,,,"35549184","35549184",,
